"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JACK1";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Barrel_Jack";;;
2;"SW22,SW3,SW21,SW12";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";4;"SW_DIP_x02";;;
3;"SW6,SW9,RESET1,SW5,SW8,SW4,SW7";"SW_PUSH_6mm_H5mm";7;"SW_Push";;;
4;"Jp8";"Jumper-Wire_8mm_Blue";1;"jumper_8";;;
5;"SW14";"SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm";1;"SW_DIP_x05";;;
6;"R9,R6,R18,R16,R4,R2,R7,R5,R21,R22,R17,R20,R19,R12,R3,R10,R8,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";18;"270R";;;
7;"J4,J5,J7,J9,J3,J6";"PinHeader_1x02_P2.54mm_Vertical";6;"Conn_01x02_Male";;;
8;"SW19,SW11,SW13,SW10";"SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm";4;"SW_DIP_x08";;;
9;"TRIMPOT1";"Potentiometer_Bourns_3339H_Vertical";1;"R_Potentiometer_Trim";;;
10;"D5,D8,D3,D4,D7,D10,D1,D2,D6";"LED_D3.0mm";9;"LED";;;
11;"Jp26,Jp22,Jp24,Jp17,Jp18";"Jumper-Wire_8mm_Blue";5;"jumper";;;
12;"SW17,SW20";"SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm";2;"SW_DIP_x01";;;
13;"R13,R14,R11,R28,R23,R15,R26,R27,R24,R25";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";10;"10K";;;
14;"J20,J16,J15,J18";"Jumper-Wire_20mm_Blue";4;"jumper";;;
15;"J1,J17,Jp25";"Jumper-Wire_12mm_Blue";3;"jumper";;;
16;"Jp3,Jp5,Jp6,Jp2,Jp4,Jp7,Jp1";"Jumper-Wire_30mm_blue_adaptado";7;"Jumper";;;
17;"Jp12,Jp14,Jp11,Jp16,J19,Jp23,Jp9,Jp13,Jp15,Jp10";"Jumper-Wire_30mm_Blue_correto";10;"jumper";;;
18;"SPI1,I2C1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
19;"SW1,SW2";"SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm";2;"SW_DIP_x03";;;
20;"LED_RGB1";"LED_RGB";1;"LED_RGB";;;
21;"CHAVE_ON/OFF1";"Chave 3 pin";1;"SW_DPDT_x2";;;
22;"JTAG1";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05";;;
23;"PINOUT1";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Male";;;
24;"UART1,WIRE1";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Male";;;
25;"ROTARY_ENCODER_SWITCH1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
26;"LDR1";"R_LDR_10x8.5mm_P7.6mm_Vertical";1;"LDR03";;;
27;"DISPLAY_LCD1";"Display IPS LCD 1.3″ 240×240";1;"Display_LCD_1.3_240x240";;;
28;"DISPLAY_7_SEGMENTOS1";"7SegmentLED_LTS6760_LTS6780";1;"LTS-6980HR";;;
29;"U1";"RPi_Pico_TH";1;"Pico";;;
30;"BUZZER1";"Buzzer_15x7.5RM7.6";1;"Buzzer";;;
